year,price-received
2023,4.95
2022,6.77
2021,5.96
2020,4.47
2019,3.52
2018,3.58
2017,3.35
2016,3.32
2015,3.57
2014,3.77
2013,4.47
2012,6.85
2011,6.11
2010,5.09
2009,3.58
2008,4.05
2007,4.14
2006,3.0
2005,1.92
2004,2.02
2003,2.39
2002,2.32
2001,1.94
2000,1.9
1999,1.75
1998,1.88
1997,2.32
1996,2.64
1995,3.22
1994,2.33
1993,2.52
1992,2.09
1991,2.34
1990,2.28
1989,2.3
1988,2.48
1987,1.96
1986,1.52
1985,2.22
1984,2.58
1983,3.13
1982,2.82
1981,2.51
1980,3.04
1979,2.42
1978,2.22
1977,1.97
1976,2.06
1975,2.48
1974,2.92
1973,2.41
1972,1.53
1971,1.11
1970,1.25
1969,1.09
1968,1.09
1967,1.05
1966,1.19
1965,1.17
1964,1.16
1963,1.08
1962,1.11
1961,1.11
1960,0.98
1959,1.03
1958,1.12
1957,1.09
1956,1.36
1955,1.44
1954,1.46
1953,1.47
1952,1.49
1951,1.55
1950,1.45
1949,1.21
1948,1.29
1947,2.12
1946,1.51
1945,1.13
1944,0.97
1943,1.03
1942,0.82
1941,0.67
1940,0.58
1939,0.56
1938,0.47
1937,0.51
1936,1.16
1935,0.61
1934,0.87
1933,0.41
1932,0.27
1931,0.3
1930,0.46
1929,0.67
1928,0.77
1927,0.74
1926,0.73
1925,0.63
1924,0.97
1923,0.67
1922,0.62
1921,0.37
1920,0.38
1919,1.32
1918,1.45
1917,1.37
1916,1.15
1915,0.58
1914,0.61
1913,0.64
1912,0.49
1911,0.62
1910,0.44
1909,0.5
1908,0.51
