year,grain yield (bu/acre),silage yield (bu/acre)
1866,29.5,
1867,38.0,
1868,28.0,
1869,38.5,
1870,33.5,
1871,38.0,
1872,37.0,
1873,22.0,
1874,15.0,
1875,31.0,
1876,32.0,
1877,34.0,
1878,41.0,
1879,40.1,
1880,31.0,
1881,29.5,
1882,38.0,
1883,37.5,
1884,41.0,
1885,40.0,
1886,31.0,
1887,27.5,
1888,38.0,
1889,39.4,
1890,20.0,
1891,37.5,
1892,32.0,
1893,26.5,
1894,7.0,
1895,16.5,
1896,37.5,
1897,30.0,
1898,21.0,
1899,28.8,
1900,26.0,
1901,14.0,
1902,32.5,
1903,27.5,
1904,33.0,
1905,34.0,
1906,34.0,
1907,24.0,
1908,27.0,
1909,24.8,
1910,26.0,
1911,21.5,
1912,27.0,
1913,15.0,
1914,24.5,
1915,31.0,
1916,27.0,
1917,27.0,
1918,18.0,
1919,24.0,4.9
1920,33.2,6.4
1921,27.0,5.8
1922,24.0,5.7
1923,32.0,5.5
1924,21.5,5.6
1925,25.0,5.9
1926,15.5,4.5
1927,32.1,6.3
1928,22.0,4.6
1929,25.2,5.0
1930,25.0,5.5
1931,17.0,4.2
1932,25.0,4.2
1933,22.5,4.5
1934,6.2,1.5
1935,13.5,3.0
1936,5.5,1.2
1937,12.0,2.3
1938,15.5,3.4
1939,14.2,2.1
1940,20.5,2.0
1941,24.0,4.3
1942,32.0,4.7
1943,27.0,4.5
1944,33.3,6.2
1945,29.0,5.0
1946,29.5,5.3
1947,20.0,3.8
1948,35.0,5.7
1949,31.1,6.2
1950,36.0,6.5
1951,28.0,5.5
1952,38.0,7.0
1953,29.5,4.5
1954,29.0,5.5
1955,20.0,3.5
1956,23.5,5.0
1957,46.5,8.0
1958,51.0,10.0
1959,48.5,8.5
1960,51.0,9.0
1961,52.0,12.0
1962,60.5,11.0
1963,57.0,9.5
1964,54.0,9.5
1965,70.0,11.0
1966,80.0,13.0
1967,74.0,11.0
1968,74.0,9.5
1969,94.0,13.5
1970,76.0,9.0
1971,85.0,12.0
1972,104.0,15.0
1973,94.0,14.5
1974,70.0,8.0
1975,85.0,12.0
1976,85.0,9.0
1977,99.0,13.0
1978,113.0,15.0
1979,115.0,15.5
1980,85.0,11.5
1981,115.0,16.0
1982,110.0,14.5
1983,97.0,14.0
1984,116.0,15.0
1985,128.0,16.5
1986,128.0,15.5
1987,131.0,17.0
1988,124.0,14.0
1989,121.0,12.5
1990,128.0,13.5
1991,127.0,12.5
1992,135.0,16.0
1993,104.0,12.5
1994,139.0,16.0
1995,111.0,12.5
1996,143.0,16.5
1997,132.0,15.5
1998,145.0,17.0
1999,139.0,16.0
2000,126.0,14.0
2001,147.0,17.0
2002,128.0,10.5
2003,146.0,13.0
2004,166.0,16.5
2005,154.0,15.5
2006,152.0,15.0
2007,160.0,17.0
2008,163.0,17.0
2009,179.0,18.0
2010,166.0,18.5
2011,160.0,18.0
2012,142.0,10.0
2013,169.0,16.0
2014,179.0,21.0
2015,185.0,20.0
2016,178.0,19.5
2017,181.0,19.5
2018,192.0,21.0
2019,182.0,23.0
2020,180.0,19.0
2021,194.0,19.5
2022,165.0,12.5
2023,182.0,17.0
2024,196.0,
