#  Nebraska April-November Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,58.1,-0.8
189611,56.9,-2.0
189711,59.0,0.1
189811,56.9,-2.0
189911,59.4,0.5
190011,60.4,1.5
190111,60.2,1.3
190211,58.1,-0.8
190311,57.2,-1.7
190411,58.1,-0.8
190511,57.6,-1.3
190611,57.8,-1.1
190711,56.7,-2.2
190811,58.1,-0.8
190911,58.5,-0.4
191011,59.1,0.2
191111,58.3,-0.6
191211,57.9,-1.0
191311,59.9,1.0
191411,60.6,1.7
191511,57.5,-1.4
191611,57.9,-1.0
191711,56.9,-2.0
191811,58.9,0.0
191911,57.6,-1.3
192011,57.1,-1.8
192111,60.1,1.2
192211,60.2,1.3
192311,58.1,-0.8
192411,57.7,-1.2
192511,58.6,-0.3
192611,58.7,-0.2
192711,58.0,-0.9
192811,57.5,-1.4
192911,57.4,-1.5
193011,59.5,0.6
193111,61.1,2.2
193211,59.6,0.7
193311,60.8,1.9
193411,62.9,4.0
193511,57.4,-1.5
193611,61.5,2.6
193711,60.2,1.3
193811,60.8,1.9
193911,61.4,2.5
194011,60.3,1.4
194111,60.2,1.3
194211,58.8,-0.1
194311,59.4,0.5
194411,58.6,-0.3
194511,57.1,-1.8
194611,58.9,0.0
194711,58.9,0.0
194811,59.9,1.0
194911,60.0,1.1
195011,56.6,-2.3
195111,55.6,-3.3
195211,59.3,0.4
195311,59.8,0.9
195411,60.7,1.8
195511,60.3,1.4
195611,59.9,1.0
195711,57.6,-1.3
195811,59.0,0.1
195911,57.9,-1.0
196011,59.3,0.4
196111,57.3,-1.6
196211,59.5,0.6
196311,62.2,3.3
196411,59.3,0.4
196511,58.7,-0.2
196611,58.3,-0.6
196711,57.3,-1.6
196811,58.1,-0.8
196911,58.9,0.0
197011,58.9,0.0
197111,58.8,-0.1
197211,57.3,-1.6
197311,58.6,-0.3
197411,59.2,0.3
197511,58.4,-0.5
197611,58.2,-0.7
197711,60.7,1.8
197811,59.1,0.2
197911,58.1,-0.8
198011,60.5,1.6
198111,60.0,1.1
198211,57.5,-1.4
198311,58.8,-0.1
198411,58.2,-0.7
198511,57.4,-1.5
198611,59.0,0.1
198711,60.0,1.1
198811,60.4,1.5
198911,59.1,0.2
199011,59.8,0.9
199111,59.2,0.3
199211,56.8,-2.1
199311,56.1,-2.8
199411,59.8,0.9
199511,57.5,-1.4
199611,57.1,-1.8
199711,57.9,-1.0
199811,60.5,1.6
199911,59.6,0.7
200011,59.4,0.5
200111,61.1,2.2
200211,59.6,0.7
200311,59.5,0.6
200411,59.2,0.3
200511,60.8,1.9
200611,60.1,1.2
200711,60.9,2.0
200811,58.3,-0.6
200911,57.2,-1.7
201011,60.2,1.3
201111,59.4,0.5
201211,61.8,2.9
201311,58.7,-0.2
201411,58.3,-0.6
201511,60.5,1.6
201611,61.4,2.5
201711,59.9,1.0
201811,58.5,-0.4
201911,58.0,-0.9
202011,59.7,0.8
202111,61.3,2.4
202211,60.3,1.4
202311,60.7,1.8
