#  Nebraska April-November Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,16.94,-2.65
189611,23.25,3.66
189711,18.60,-0.99
189811,18.14,-1.45
189911,16.46,-3.13
190011,20.45,0.86
190111,18.97,-0.62
190211,24.08,4.49
190311,23.27,3.68
190411,21.34,1.75
190511,27.40,7.81
190611,22.43,2.84
190711,17.50,-2.09
190811,24.11,4.52
190911,21.08,1.49
191011,14.95,-4.64
191111,18.41,-1.18
191211,17.54,-2.05
191311,16.21,-3.38
191411,17.53,-2.06
191511,29.84,10.25
191611,16.81,-2.78
191711,18.08,-1.51
191811,19.44,-0.15
191911,21.13,1.54
192011,22.49,2.90
192111,18.07,-1.52
192211,18.31,-1.28
192311,25.79,6.20
192411,15.73,-3.86
192511,18.28,-1.31
192611,18.27,-1.32
192711,19.74,0.15
192811,19.72,0.13
192911,20.33,0.74
193011,23.74,4.15
193111,15.39,-4.20
193211,17.56,-2.03
193311,16.58,-3.01
193411,12.16,-7.43
193511,20.54,0.95
193611,11.24,-8.35
193711,15.01,-4.58
193811,19.64,0.05
193911,12.99,-6.60
194011,13.59,-6.00
194111,21.38,1.79
194211,21.59,2.00
194311,15.98,-3.61
194411,23.16,3.57
194511,19.92,0.33
194611,21.78,2.19
194711,20.76,1.17
194811,18.21,-1.38
194911,20.24,0.65
195011,20.00,0.41
195111,26.78,7.19
195211,15.69,-3.90
195311,16.60,-2.99
195411,17.29,-2.30
195511,14.56,-5.03
195611,14.50,-5.09
195711,24.48,4.89
195811,19.58,-0.01
195911,19.56,-0.03
196011,18.73,-0.86
196111,19.21,-0.38
196211,23.17,3.58
196311,18.47,-1.12
196411,17.33,-2.26
196511,25.77,6.18
196611,16.61,-2.98
196711,20.67,1.08
196811,20.44,0.85
196911,19.22,-0.37
197011,17.65,-1.94
197111,20.10,0.51
197211,21.51,1.92
197311,22.97,3.38
197411,13.65,-5.94
197511,17.65,-1.94
197611,14.66,-4.93
197711,24.37,4.78
197811,19.44,-0.15
197911,21.12,1.53
198011,13.42,-6.17
198111,20.89,1.30
198211,23.94,4.35
198311,20.62,1.03
198411,21.87,2.28
198511,20.40,0.81
198611,23.90,4.31
198711,18.58,-1.01
198811,18.20,-1.39
198911,14.56,-5.03
199011,17.94,-1.65
199111,19.10,-0.49
199211,20.44,0.85
199311,28.15,8.56
199411,19.61,0.02
199511,22.34,2.75
199611,23.76,4.17
199711,20.40,0.81
199811,22.78,3.19
199911,20.83,1.24
200011,17.12,-2.47
200111,21.71,2.12
200211,14.25,-5.34
200311,17.39,-2.20
200411,19.63,0.04
200511,20.40,0.81
200611,16.95,-2.64
200711,23.46,3.87
200811,26.16,6.57
200911,22.72,3.13
201011,23.90,4.31
201111,22.77,3.18
201211,10.57,-9.02
201311,21.07,1.48
201411,22.50,2.91
201511,25.34,5.75
201611,22.14,2.55
201711,21.66,2.07
201811,24.72,5.13
201911,26.43,6.84
202011,14.87,-4.72
202111,16.88,-2.71
202211,13.38,-6.21
202311,20.74,1.15
