#  Nebraska April Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189504,1.06,0.62
189604,1.60,1.16
189704,4.13,3.69
189804,1.34,0.90
189904,-1.07,-1.51
190004,-0.82,-1.26
190104,-1.14,-1.58
190204,-1.91,-2.35
190304,2.77,2.33
190404,2.31,1.87
190504,3.73,3.29
190604,6.34,5.90
190704,3.59,3.15
190804,0.73,0.29
190904,3.58,3.14
191004,-1.82,-2.26
191104,-2.02,-2.46
191204,2.44,2.00
191304,0.73,0.29
191404,-0.28,-0.72
191504,2.15,1.71
191604,5.15,4.71
191704,2.35,1.91
191804,-1.27,-1.71
191904,2.00,1.56
192004,4.49,4.05
192104,-0.67,-1.11
192204,-1.07,-1.51
192304,0.17,-0.27
192404,3.32,2.88
192504,-0.78,-1.22
192604,-1.57,-2.01
192704,2.93,2.49
192804,-1.86,-2.30
192904,1.28,0.84
193004,0.68,0.24
193104,-0.32,-0.76
193204,-0.27,-0.71
193304,-1.14,-1.58
193404,-3.90,-4.34
193504,-4.97,-5.41
193604,-2.07,-2.51
193704,-5.02,-5.46
193804,-4.58,-5.02
193904,-3.45,-3.89
194004,-4.23,-4.67
194104,-2.95,-3.39
194204,1.76,1.32
194304,-0.90,-1.34
194404,2.23,1.79
194504,2.53,2.09
194604,-1.75,-2.19
194704,3.05,2.61
194804,-1.11,-1.55
194904,1.88,1.44
195004,1.04,0.60
195104,2.54,2.10
195204,6.14,5.70
195304,-0.09,-0.53
195404,-2.16,-2.60
195504,-3.96,-4.40
195604,-5.45,-5.89
195704,0.21,-0.23
195804,3.39,2.95
195904,1.82,1.38
196004,2.98,2.54
196104,0.00,-0.44
196204,-0.76,-1.20
196304,-0.36,-0.80
196404,-1.09,-1.53
196504,-2.74,-3.18
196604,2.59,2.15
196704,-2.51,-2.95
196804,-1.26,-1.70
196904,-0.69,-1.13
197004,-0.08,-0.52
197104,1.11,0.67
197204,0.12,-0.32
197304,3.92,3.48
197404,0.20,-0.24
197504,-1.35,-1.79
197604,-0.73,-1.17
197704,1.13,0.69
197804,2.34,1.90
197904,2.19,1.75
198004,-0.18,-0.62
198104,-3.83,-4.27
198204,-0.53,-0.97
198304,4.98,4.54
198404,5.43,4.99
198504,2.23,1.79
198604,2.07,1.63
198704,4.34,3.90
198804,-0.73,-1.17
198904,-3.23,-3.67
199004,-3.83,-4.27
199104,-3.19,-3.63
199204,-0.71,-1.15
199304,3.79,3.35
199404,5.47,5.03
199504,3.83,3.39
199604,0.88,0.44
199704,2.40,1.96
199804,2.78,2.34
199904,3.65,3.21
200004,-1.55,-1.99
200104,1.31,0.87
200204,-1.70,-2.14
200304,-2.76,-3.20
200404,-2.94,-3.38
200504,0.35,-0.09
200604,-1.62,-2.06
200704,2.17,1.73
200804,2.09,1.65
200904,4.69,4.25
201004,5.83,5.39
201104,3.82,3.38
201204,-1.10,-1.54
201304,-4.24,-4.68
201404,-1.99,-2.43
201504,0.76,0.32
201604,5.00,4.56
201704,1.59,1.15
201804,1.24,0.80
201904,5.39,4.95
202004,5.59,5.15
202104,-0.25,-0.69
202204,-3.16,-3.60
202304,-4.25,-4.69
202404,0.33,-0.11
