#  Nebraska August Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189508,1.99,1.19
189608,2.54,1.74
189708,2.58,1.78
189808,-0.14,-0.94
189908,-0.55,-1.35
190008,-1.35,-2.15
190108,-2.78,-3.58
190208,2.56,1.76
190308,6.26,5.46
190408,4.01,3.21
190508,6.48,5.68
190608,5.07,4.27
190708,4.50,3.70
190808,4.78,3.98
190908,4.11,3.31
191008,-1.21,-2.01
191108,0.31,-0.49
191208,1.89,1.09
191308,-1.34,-2.14
191408,-0.99,-1.79
191508,7.43,6.63
191608,4.43,3.63
191708,0.06,-0.74
191808,-2.10,-2.90
191908,1.39,0.59
192008,4.66,3.86
192108,-0.54,-1.34
192208,-1.70,-2.50
192308,3.74,2.94
192408,3.28,2.48
192508,0.42,-0.38
192608,0.31,-0.49
192708,3.22,2.42
192808,-0.59,-1.39
192908,-0.55,-1.35
193008,1.76,0.96
193108,-2.22,-3.02
193208,-0.32,-1.12
193308,-2.17,-2.97
193408,-8.31,-9.11
193508,-2.56,-3.36
193608,-6.26,-7.06
193708,-6.37,-7.17
193808,-3.91,-4.71
193908,-5.04,-5.84
194008,-6.52,-7.32
194108,-3.15,-3.95
194208,2.55,1.75
194308,-1.42,-2.22
194408,4.19,3.39
194508,4.17,3.37
194608,-1.83,-2.63
194708,-0.87,-1.67
194808,0.46,-0.34
194908,3.03,2.23
195008,3.11,2.31
195108,6.49,5.69
195208,-0.27,-1.07
195308,-1.06,-1.86
195408,-2.27,-3.07
195508,-6.12,-6.92
195608,-6.61,-7.41
195708,2.20,1.40
195808,4.43,3.63
195908,1.84,1.04
196008,3.51,2.71
196108,0.43,-0.37
196208,4.00,3.20
196308,0.38,-0.42
196408,-1.58,-2.38
196508,1.98,1.18
196608,2.25,1.45
196708,-0.15,-0.95
196808,0.99,0.19
196908,0.58,-0.22
197008,-1.82,-2.62
197108,0.98,0.18
197208,1.05,0.25
197308,2.51,1.71
197408,-0.79,-1.59
197508,-1.44,-2.24
197608,-2.48,-3.28
197708,2.41,1.61
197808,2.54,1.74
197908,3.42,2.62
198008,-1.06,-1.86
198108,1.03,0.23
198208,2.64,1.84
198308,4.67,3.87
198408,4.20,3.40
198508,1.27,0.47
198608,2.48,1.68
198708,3.78,2.98
198808,-1.31,-2.11
198908,-4.34,-5.14
199008,-2.89,-3.69
199108,-3.52,-4.32
199208,2.96,2.16
199308,8.12,7.32
199408,4.26,3.46
199508,4.09,3.29
199608,2.79,1.99
199708,2.25,1.45
199808,4.12,3.32
199908,4.50,3.70
200008,-3.23,-4.03
200108,0.35,-0.45
200208,-4.31,-5.11
200308,-3.52,-4.32
200408,-2.78,-3.58
200508,-0.01,-0.81
200608,0.32,-0.48
200708,2.92,2.12
200808,3.70,2.90
200908,5.77,4.97
201008,7.37,6.57
201108,5.52,4.72
201208,-5.70,-6.50
201308,-3.29,-4.09
201408,2.60,1.80
201508,3.50,2.70
201608,3.91,3.11
201708,1.64,0.84
201808,3.23,2.43
201908,8.51,7.71
202008,-0.83,-1.63
202108,-1.02,-1.82
202208,-5.47,-6.27
202308,-0.16,-0.96
202408,0.00,-0.80
