#  Nebraska July Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189507,1.59,0.94
189607,2.74,2.09
189707,2.57,1.92
189807,0.20,-0.45
189907,-0.71,-1.36
190007,-1.67,-2.32
190107,-2.46,-3.11
190207,1.91,1.26
190307,4.90,4.25
190407,3.72,3.07
190507,6.41,5.76
190607,4.58,3.93
190707,4.60,3.95
190807,3.79,3.14
190907,4.27,3.62
191007,-2.42,-3.07
191107,-4.13,-4.78
191207,1.35,0.70
191307,-0.56,-1.21
191407,-1.09,-1.74
191507,6.31,5.66
191607,4.21,3.56
191707,-0.40,-1.05
191807,-1.95,-2.60
191907,2.13,1.48
192007,4.00,3.35
192107,-0.65,-1.30
192207,-1.13,-1.78
192307,2.17,1.52
192407,3.46,2.81
192507,-1.36,-2.01
192607,-2.63,-3.28
192707,2.56,1.91
192807,1.42,0.77
192907,1.14,0.49
193007,1.12,0.47
193107,-2.05,-2.70
193207,-0.56,-1.21
193307,-3.16,-3.81
193407,-7.91,-8.56
193507,-2.62,-3.27
193607,-5.35,-6.00
193707,-5.76,-6.41
193807,-3.50,-4.15
193907,-4.93,-5.58
194007,-6.39,-7.04
194107,-2.65,-3.30
194207,2.72,2.07
194307,-0.79,-1.44
194407,3.56,2.91
194507,3.92,3.27
194607,-1.75,-2.40
194707,-0.02,-0.67
194807,0.48,-0.17
194907,2.85,2.20
195007,2.17,1.52
195107,5.27,4.62
195207,-0.75,-1.40
195307,-0.69,-1.34
195407,-3.19,-3.84
195507,-5.12,-5.77
195607,-6.79,-7.44
195707,2.00,1.35
195807,4.62,3.97
195907,1.93,1.28
196007,3.37,2.72
196107,0.63,-0.02
196207,3.75,3.10
196307,-1.01,-1.66
196407,-1.77,-2.42
196507,2.02,1.37
196607,1.61,0.96
196707,2.46,1.81
196807,-1.66,-2.31
196907,0.73,0.08
197007,-1.11,-1.76
197107,1.72,1.07
197207,1.20,0.55
197307,3.47,2.82
197407,-1.09,-1.74
197507,-0.87,-1.52
197607,-1.74,-2.39
197707,1.00,0.35
197807,2.38,1.73
197907,3.13,2.48
198007,-1.73,-2.38
198107,0.54,-0.11
198207,1.99,1.34
198307,5.75,5.10
198407,5.15,4.50
198507,1.24,0.59
198607,2.24,1.59
198707,3.40,2.75
198807,-1.22,-1.87
198907,-4.50,-5.15
199007,-3.06,-3.71
199107,-2.93,-3.58
199207,1.84,1.19
199307,7.38,6.73
199407,4.63,3.98
199507,4.81,4.16
199607,1.96,1.31
199707,2.07,1.42
199807,3.89,3.24
199907,4.25,3.60
200007,-2.23,-2.88
200107,0.58,-0.07
200207,-4.87,-5.52
200307,-2.69,-3.34
200407,-2.39,-3.04
200507,-0.35,-1.00
200607,-4.28,-4.93
200707,2.13,1.48
200807,3.85,3.20
200907,4.94,4.29
201007,7.39,6.74
201107,5.10,4.45
201207,-4.77,-5.42
201307,-3.71,-4.36
201407,1.28,0.63
201507,3.09,2.44
201607,4.15,3.50
201707,0.57,-0.08
201807,3.09,2.44
201907,7.14,6.49
202007,4.86,4.21
202107,-1.10,-1.75
202207,-4.39,-5.04
202307,0.36,-0.29
202407,0.66,0.01
