#  Nebraska June Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189506,1.69,1.19
189606,1.82,1.32
189706,2.79,2.29
189806,-0.12,-0.62
189906,-0.85,-1.35
190006,-2.46,-2.96
190106,-1.42,-1.92
190206,0.59,0.09
190306,3.55,3.05
190406,2.75,2.25
190506,5.37,4.87
190606,4.80,4.30
190706,3.66,3.16
190806,2.75,2.25
190906,3.62,3.12
191006,-2.04,-2.54
191106,-3.98,-4.48
191206,0.95,0.45
191306,-0.53,-1.03
191406,-0.50,-1.00
191506,4.38,3.88
191606,4.73,4.23
191706,0.03,-0.47
191806,-2.19,-2.69
191906,2.05,1.55
192006,4.03,3.53
192106,-1.21,-1.71
192206,-2.09,-2.59
192306,1.80,1.30
192406,2.92,2.42
192506,-1.02,-1.52
192606,-2.59,-3.09
192706,2.68,2.18
192806,0.71,0.21
192906,0.93,0.43
193006,1.66,1.16
193106,-1.47,-1.97
193206,-0.49,-0.99
193306,-2.90,-3.40
193406,-6.38,-6.88
193506,-2.25,-2.75
193606,-3.46,-3.96
193706,-5.42,-5.92
193806,-3.84,-4.34
193906,-4.11,-4.61
194006,-5.55,-6.05
194106,-2.74,-3.24
194206,3.17,2.67
194306,-0.83,-1.33
194406,2.73,2.23
194506,3.72,3.22
194606,-1.34,-1.84
194706,5.28,4.78
194806,0.40,-0.10
194906,2.81,2.31
195006,0.68,0.18
195106,4.46,3.96
195206,-0.74,-1.24
195306,-0.67,-1.17
195406,-2.08,-2.58
195506,-3.94,-4.44
195606,-6.62,-7.12
195706,1.79,1.29
195806,2.38,1.88
195906,2.16,1.66
196006,3.66,3.16
196106,0.46,-0.04
196206,1.94,1.44
196306,-1.04,-1.54
196406,-1.46,-1.96
196506,1.31,0.81
196606,1.48,0.98
196706,2.34,1.84
196806,-1.61,-2.11
196906,0.17,-0.33
197006,-0.73,-1.23
197106,1.37,0.87
197206,0.23,-0.27
197306,2.87,2.37
197406,-0.28,-0.78
197506,-0.67,-1.17
197606,-1.65,-2.15
197706,0.98,0.48
197806,1.58,1.08
197906,2.31,1.81
198006,-1.00,-1.50
198106,-3.93,-4.43
198206,1.65,1.15
198306,6.19,5.69
198406,5.29,4.79
198506,1.15,0.65
198606,1.95,1.45
198706,3.61,3.11
198806,-1.38,-1.88
198906,-4.04,-4.54
199006,-3.37,-3.87
199106,-2.52,-3.02
199206,0.28,-0.22
199306,4.57,4.07
199406,3.58,3.08
199506,5.19,4.69
199606,1.64,1.14
199706,1.96,1.46
199806,2.99,2.49
199906,4.46,3.96
200006,-2.41,-2.91
200106,-0.63,-1.13
200206,-3.53,-4.03
200306,-2.02,-2.52
200406,-3.16,-3.66
200506,1.03,0.53
200606,-3.43,-3.93
200706,2.28,1.78
200806,3.56,3.06
200906,4.64,4.14
201006,6.92,6.42
201106,4.68,4.18
201206,-3.28,-3.78
201306,-3.60,-4.10
201406,1.66,1.16
201506,2.51,2.01
201606,4.03,3.53
201706,0.89,0.39
201806,1.98,1.48
201906,6.59,6.09
202006,4.49,3.99
202106,-0.94,-1.44
202206,-4.20,-4.70
202306,-3.92,-4.42
202406,0.61,0.11
