#  Nebraska May Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189505,0.80,0.27
189605,1.66,1.13
189705,3.04,2.51
189805,2.31,1.78
189905,-0.95,-1.48
190005,-1.61,-2.14
190105,-1.98,-2.51
190205,-2.09,-2.62
190305,4.32,3.79
190405,2.27,1.74
190505,5.05,4.52
190605,5.63,5.10
190705,3.61,3.08
190805,1.44,0.91
190905,3.63,3.10
191005,-1.73,-2.26
191105,-2.68,-3.21
191205,1.56,1.03
191305,0.87,0.34
191405,-0.71,-1.24
191505,3.24,2.71
191605,5.04,4.51
191705,3.36,2.83
191805,-1.10,-1.63
191905,1.64,1.11
192005,4.47,3.94
192105,-0.47,-1.00
192205,-1.37,-1.90
192305,1.22,0.69
192405,2.74,2.21
192505,-1.35,-1.88
192605,-2.26,-2.79
192705,2.60,2.07
192805,-2.02,-2.55
192905,1.15,0.62
193005,1.78,1.25
193105,-0.70,-1.23
193205,-0.74,-1.27
193305,-1.16,-1.69
193405,-5.85,-6.38
193505,-2.86,-3.39
193605,-2.48,-3.01
193705,-5.49,-6.02
193805,-3.60,-4.13
193905,-4.22,-4.75
194005,-5.28,-5.81
194105,-3.57,-4.10
194205,2.50,1.97
194305,-1.27,-1.80
194405,2.33,1.80
194505,2.87,2.34
194605,-1.11,-1.64
194705,2.98,2.45
194805,-1.91,-2.44
194905,2.42,1.89
195005,1.45,0.92
195105,3.24,2.71
195205,6.06,5.53
195305,-0.32,-0.85
195405,-2.12,-2.65
195505,-4.46,-4.99
195605,-6.22,-6.75
195705,1.22,0.69
195805,2.76,2.23
195905,2.50,1.97
196005,3.55,3.02
196105,0.96,0.43
196205,0.67,0.14
196305,-1.01,-1.54
196405,-1.97,-2.50
196505,0.36,-0.17
196605,1.25,0.72
196705,0.03,-0.50
196805,-1.38,-1.91
196905,-0.90,-1.43
197005,-0.57,-1.10
197105,1.67,1.14
197205,0.51,-0.02
197305,4.11,3.58
197405,-0.12,-0.65
197505,-1.65,-2.18
197605,-0.82,-1.35
197705,1.63,1.10
197805,2.58,2.05
197905,2.15,1.62
198005,-0.45,-0.98
198105,-3.31,-3.84
198205,1.40,0.87
198305,5.54,5.01
198405,5.17,4.64
198505,1.79,1.26
198605,1.97,1.44
198705,4.34,3.81
198805,-0.39,-0.92
198905,-4.10,-4.63
199005,-3.21,-3.74
199105,-2.47,-3.00
199205,-1.56,-2.09
199305,3.75,3.22
199405,3.97,3.44
199505,5.77,5.24
199605,2.14,1.61
199705,2.26,1.73
199805,2.33,1.80
199905,3.74,3.21
200005,-2.02,-2.55
200105,1.68,1.15
200205,-2.09,-2.62
200305,-2.64,-3.17
200405,-3.08,-3.61
200505,0.29,-0.24
200605,-2.97,-3.50
200705,2.82,2.29
200805,3.41,2.88
200905,3.86,3.33
201005,5.47,4.94
201105,4.79,4.26
201205,-2.01,-2.54
201305,-3.28,-3.81
201405,-2.30,-2.83
201505,2.05,1.52
201605,5.36,4.83
201705,2.18,1.65
201805,1.45,0.92
201905,7.05,6.52
202005,5.70,5.17
202105,-0.05,-0.58
202205,-3.14,-3.67
202305,-3.92,-4.45
202405,0.63,0.10
