#  Nebraska May Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189505,2.56,-0.94
189605,3.72,0.22
189705,1.64,-1.86
189805,5.18,1.68
189905,3.68,0.18
190005,2.11,-1.39
190105,1.82,-1.68
190205,3.64,0.14
190305,6.53,3.03
190405,3.55,0.05
190505,5.76,2.26
190605,2.77,-0.73
190705,3.08,-0.42
190805,4.93,1.43
190905,3.37,-0.13
191005,2.72,-0.78
191105,2.26,-1.24
191205,1.75,-1.75
191305,3.60,0.10
191405,2.63,-0.87
191505,5.11,1.61
191605,3.51,0.01
191705,4.80,1.30
191805,4.11,0.61
191905,2.45,-1.05
192005,3.48,-0.02
192105,3.74,0.24
192205,2.85,-0.65
192305,5.30,1.80
192405,1.80,-1.70
192505,2.11,-1.39
192605,2.78,-0.72
192705,2.68,-0.82
192805,3.53,0.03
192905,2.81,-0.69
193005,5.12,1.62
193105,2.08,-1.42
193205,2.77,-0.73
193305,3.04,-0.46
193405,1.12,-2.38
193505,6.16,2.66
193605,3.12,-0.38
193705,2.56,-0.94
193805,4.84,1.34
193905,2.59,-0.91
194005,0.97,-2.53
194105,2.29,-1.21
194205,4.60,1.10
194305,2.18,-1.32
194405,3.95,0.45
194505,3.67,0.17
194605,4.15,0.65
194705,2.91,-0.59
194805,2.03,-1.47
194905,4.74,1.24
195005,4.00,0.50
195105,4.67,1.17
195205,3.85,0.35
195305,2.44,-1.06
195405,3.03,-0.47
195505,3.20,-0.30
195605,2.00,-1.50
195705,5.54,2.04
195805,2.65,-0.85
195905,4.89,1.39
196005,4.47,0.97
196105,5.06,1.56
196205,5.52,2.02
196305,2.09,-1.41
196405,2.01,-1.49
196505,5.06,1.56
196605,0.89,-2.61
196705,3.55,0.05
196805,2.56,-0.94
196905,3.17,-0.33
197005,2.63,-0.87
197105,4.23,0.73
197205,4.31,0.81
197305,3.73,0.23
197405,2.74,-0.76
197505,2.82,-0.68
197605,2.80,-0.70
197705,5.36,1.86
197805,3.79,0.29
197905,3.02,-0.48
198005,2.34,-1.16
198105,4.34,0.84
198205,6.34,2.84
198305,4.42,0.92
198405,3.26,-0.24
198505,3.31,-0.19
198605,3.21,-0.29
198705,4.45,0.95
198805,4.41,0.91
198905,1.99,-1.51
199005,4.22,0.72
199105,5.05,1.55
199205,1.83,-1.67
199305,3.45,-0.05
199405,1.38,-2.12
199505,6.72,3.22
199605,6.12,2.62
199705,2.80,-0.70
199805,2.95,-0.55
199905,3.69,0.19
200005,2.82,-0.68
200105,4.34,0.84
200205,2.43,-1.07
200305,3.24,-0.26
200405,3.29,-0.21
200505,3.31,-0.19
200605,1.16,-2.34
200705,5.19,1.69
200805,5.87,2.37
200905,2.18,-1.32
201005,3.02,-0.48
201105,5.43,1.93
201205,2.04,-1.46
201305,4.86,1.36
201405,2.63,-0.87
201505,5.89,2.39
201605,4.39,0.89
201705,4.71,1.21
201805,4.66,1.16
201905,6.59,3.09
202005,4.06,0.56
202105,3.56,0.06
202205,3.64,0.14
202305,4.44,0.94
202405,4.22,0.72
