#  Nebraska November Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189511,-0.49,-1.26
189611,3.15,2.38
189711,2.07,1.30
189811,-0.09,-0.86
189911,-1.76,-2.53
190011,-1.28,-2.05
190111,-1.20,-1.97
190211,2.94,2.17
190311,4.83,4.06
190411,3.40,2.63
190511,6.39,5.62
190611,5.50,4.73
190711,2.94,2.17
190811,4.29,3.52
190911,4.77,4.00
191011,-1.97,-2.74
191111,0.99,0.22
191211,-0.27,-1.04
191311,-1.70,-2.47
191411,-1.74,-2.51
191511,7.12,6.35
191611,2.92,2.15
191711,-0.78,-1.55
191811,0.78,0.01
191911,3.14,2.37
192011,3.82,3.05
192111,-0.96,-1.73
192211,1.08,0.31
192311,4.14,3.37
192411,2.07,1.30
192511,0.34,-0.43
192611,1.04,0.27
192711,-0.69,-1.46
192811,1.53,0.76
192911,1.86,1.09
193011,2.87,2.10
193111,0.75,-0.02
193211,-1.05,-1.82
193311,-3.16,-3.93
193411,-6.54,-7.31
193511,-2.24,-3.01
193611,-6.14,-6.91
193711,-5.58,-6.35
193811,-3.75,-4.52
193911,-6.04,-6.81
194011,-5.63,-6.40
194111,1.17,0.40
194211,-0.28,-1.05
194311,-2.09,-2.86
194411,3.09,2.32
194511,-0.93,-1.70
194611,3.47,2.70
194711,-0.72,-1.49
194811,0.52,-0.25
194911,2.18,1.41
195011,2.40,1.63
195111,6.50,5.73
195211,-1.37,-2.14
195311,-1.65,-2.42
195411,-2.69,-3.46
195511,-5.57,-6.34
195611,-6.26,-7.03
195711,2.82,2.05
195811,2.49,1.72
195911,2.22,1.45
196011,-0.71,-1.48
196111,1.06,0.29
196211,-0.35,-1.12
196311,-1.20,-1.97
196411,-2.40,-3.17
196511,3.37,2.60
196611,-0.64,-1.41
196711,-0.42,-1.19
196811,1.09,0.32
196911,-0.31,-1.08
197011,0.82,0.05
197111,1.74,0.97
197211,1.87,1.10
197311,5.24,4.47
197411,-1.75,-2.52
197511,-1.35,-2.12
197611,-2.61,-3.38
197711,2.18,1.41
197811,1.32,0.55
197911,3.82,3.05
198011,-2.24,-3.01
198111,0.57,-0.20
198211,3.72,2.95
198311,4.11,3.34
198411,3.75,2.98
198511,2.34,1.57
198611,3.82,3.05
198711,2.85,2.08
198811,-1.43,-2.20
198911,-3.96,-4.73
199011,-2.96,-3.73
199111,0.72,-0.05
199211,2.94,2.17
199311,7.91,7.14
199411,3.86,3.09
199511,3.54,2.77
199611,3.86,3.09
199711,3.01,2.24
199811,4.40,3.63
199911,-1.24,-2.01
200011,0.93,0.16
200111,0.68,-0.09
200211,-3.20,-3.97
200311,-3.05,-3.82
200411,0.61,-0.16
200511,-0.68,-1.45
200611,0.43,-0.34
200711,2.47,1.70
200811,5.30,4.53
200911,5.92,5.15
201011,5.27,4.50
201111,-0.22,-0.99
201211,-6.06,-6.83
201311,-1.54,-2.31
201411,2.12,1.35
201511,3.64,2.87
201611,2.31,1.54
201711,2.02,1.25
201811,4.05,3.28
201911,7.52,6.75
202011,-1.65,-2.42
202111,-1.39,-2.16
202211,-5.75,-6.52
202311,0.32,-0.45
