#  Nebraska October Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189510,-0.75,-1.55
189610,2.97,2.17
189710,2.39,1.59
189810,-0.07,-0.87
189910,-1.62,-2.42
190010,-0.91,-1.71
190110,-0.95,-1.75
190210,3.47,2.67
190310,5.21,4.41
190410,4.29,3.49
190510,6.48,5.68
190610,5.91,5.11
190710,3.59,2.79
190810,4.63,3.83
190910,3.89,3.09
191010,-1.60,-2.40
191110,1.38,0.58
191210,2.32,1.52
191310,-1.44,-2.24
191410,-0.99,-1.79
191510,7.78,6.98
191610,3.35,2.55
191710,-0.31,-1.11
191810,0.65,-0.15
191910,1.91,1.11
192010,3.83,3.03
192110,-0.69,-1.49
192210,-2.93,-3.73
192310,4.72,3.92
192410,2.73,1.93
192510,0.74,-0.06
192610,0.58,-0.22
192710,-0.46,-1.26
192810,0.89,0.09
192910,1.69,0.89
193010,2.24,1.44
193110,-2.48,-3.28
193210,-0.57,-1.37
193310,-2.82,-3.62
193410,-7.13,-7.93
193510,-2.67,-3.47
193610,-6.27,-7.07
193710,-5.64,-6.44
193810,-4.06,-4.86
193910,-5.81,-6.61
194010,-6.41,-7.21
194110,1.53,0.73
194210,-0.08,-0.88
194310,-1.83,-2.63
194410,2.76,1.96
194510,-0.61,-1.41
194610,2.82,2.02
194710,-1.51,-2.31
194810,-0.59,-1.39
194910,3.12,2.32
195010,2.74,1.94
195110,7.05,6.25
195210,-1.73,-2.53
195310,-2.14,-2.94
195410,-2.16,-2.96
195510,-5.78,-6.58
195610,-6.96,-7.76
195710,2.85,2.05
195810,2.92,2.12
195910,2.57,1.77
196010,-0.53,-1.33
196110,1.05,0.25
196210,3.52,2.72
196310,-0.75,-1.55
196410,-2.16,-2.96
196510,4.04,3.24
196610,-0.22,-1.02
196710,-0.14,-0.94
196810,1.31,0.51
196910,1.60,0.80
197010,0.89,0.09
197110,1.37,0.57
197210,0.94,0.14
197310,5.07,4.27
197410,-1.47,-2.27
197510,-2.53,-3.33
197610,-2.40,-3.20
197710,2.19,1.39
197810,1.26,0.46
197910,3.31,2.51
198010,-1.69,-2.49
198110,0.23,-0.57
198210,3.32,2.52
198310,3.33,2.53
198410,4.07,3.27
198510,2.32,1.52
198610,4.16,3.36
198710,2.85,2.05
198810,-1.34,-2.14
198910,-3.61,-4.41
199010,-3.27,-4.07
199110,0.09,-0.71
199210,2.84,2.04
199310,8.06,7.26
199410,3.94,3.14
199510,4.13,3.33
199610,3.23,2.43
199710,3.32,2.52
199810,3.88,3.08
199910,-0.67,-1.47
200010,0.53,-0.27
200110,0.51,-0.29
200210,-2.99,-3.79
200310,-3.42,-4.22
200410,0.35,-0.45
200510,-0.63,-1.43
200610,1.06,0.26
200710,3.34,2.54
200810,5.67,4.87
200910,6.80,6.00
201010,5.90,5.10
201110,0.44,-0.36
201210,-5.95,-6.75
201310,-1.76,-2.56
201410,2.53,1.73
201510,3.18,2.38
201610,2.94,2.14
201710,2.72,1.92
201810,4.12,3.32
201910,7.91,7.11
202010,-1.46,-2.26
202110,-0.78,-1.58
202210,-5.88,-6.68
202310,0.69,-0.11
