#  Nebraska September Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189509,-0.33,-1.11
189609,2.68,1.90
189709,1.53,0.75
189809,-0.02,-0.80
189909,-1.50,-2.28
190009,-1.15,-1.93
190109,-1.38,-2.16
190209,3.36,2.58
190309,5.65,4.87
190409,3.79,3.01
190509,6.81,6.03
190609,5.24,4.46
190709,4.41,3.63
190809,3.78,3.00
190909,4.31,3.53
191009,-1.12,-1.90
191109,-0.35,-1.13
191209,2.25,1.47
191309,-1.25,-2.03
191409,-1.10,-1.88
191509,8.26,7.48
191609,3.74,2.96
191709,0.39,-0.39
191809,-1.99,-2.77
191909,1.42,0.64
192009,3.77,2.99
192109,-0.58,-1.36
192209,-2.58,-3.36
192309,4.41,3.63
192409,3.31,2.53
192509,0.02,-0.76
192609,0.89,0.11
192709,3.05,2.27
192809,-1.01,-1.79
192909,0.65,-0.13
193009,1.28,0.50
193109,-2.41,-3.19
193209,-0.73,-1.51
193309,-2.14,-2.92
193409,-7.22,-8.00
193509,-2.67,-3.45
193609,-6.30,-7.08
193709,-6.39,-7.17
193809,-3.29,-4.07
193909,-5.93,-6.71
194009,-6.84,-7.62
194109,1.03,0.25
194209,3.46,2.68
194309,-1.99,-2.77
194409,3.36,2.58
194509,4.32,3.54
194609,0.90,0.12
194709,-1.20,-1.98
194809,-0.43,-1.21
194909,3.00,2.22
195009,3.19,2.41
195109,7.14,6.36
195209,-1.18,-1.96
195309,-1.91,-2.69
195409,-2.69,-3.47
195509,-5.55,-6.33
195609,-7.11,-7.89
195709,2.33,1.55
195809,4.00,3.22
195909,1.94,1.16
196009,-0.26,-1.04
196109,1.28,0.50
196209,3.75,2.97
196309,1.06,0.28
196409,-1.53,-2.31
196509,4.35,3.57
196609,2.25,1.47
196709,-0.08,-0.86
196809,0.64,-0.14
196909,0.01,-0.77
197009,0.36,-0.42
197109,0.84,0.06
197209,0.93,0.15
197309,5.01,4.23
197409,-1.41,-2.19
197509,-1.93,-2.71
197609,-2.37,-3.15
197709,2.26,1.48
197809,1.85,1.07
197909,2.69,1.91
198009,-1.92,-2.70
198109,0.25,-0.53
198209,2.48,1.70
198309,3.81,3.03
198409,3.19,2.41
198509,2.23,1.45
198609,3.34,2.56
198709,3.45,2.67
198809,-0.71,-1.49
198909,-3.40,-4.18
199009,-3.57,-4.35
199109,-3.58,-4.36
199209,2.64,1.86
199309,8.23,7.45
199409,3.69,2.91
199509,4.06,3.28
199609,3.68,2.90
199709,2.36,1.58
199809,3.07,2.29
199909,0.03,-0.75
200009,-3.47,-4.25
200109,0.69,-0.09
200209,-4.53,-5.31
200309,-3.14,-3.92
200409,0.56,-0.22
200509,-0.79,-1.57
200609,1.12,0.34
200709,2.49,1.71
200809,3.86,3.08
200909,5.24,4.46
201009,6.81,6.03
201109,-0.41,-1.19
201209,-6.33,-7.11
201309,-3.13,-3.91
201409,2.76,1.98
201509,3.44,2.66
201609,3.55,2.77
201709,1.78,1.00
201809,3.37,2.59
201909,8.10,7.32
202009,-1.36,-2.14
202109,-1.20,-1.98
202209,-5.80,-6.58
202309,-0.35,-1.13
